start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,6,21,18,17,22,935,100002,19.5,2018,6,21,18,26,36,426,1.5,com.sec.android.app.shealth,UTC-0400,Napa Cabbage (Cooked),NA,120001,NA,2018,6,21,18,26,36,426,7f5d0706-be57-479b-97a2-20073a0cf587
2018,6,27,22,0,0,173,100003,8,2018,6,29,1,6,58,834,1,com.sec.android.app.shealth,UTC-0400,Soy Sauce,NA,120001,NA,2018,6,29,1,6,7,795,7da54671-8df7-4a75-8a00-a3ca26d62bda
2018,6,16,23,26,20,541,100006,140,2018,6,17,1,40,26,771,2,com.sec.android.app.shealth,UTC-0400,Peeled & Cooked Chestnuts(Trader Joe's),NA,120001,NA,2018,6,17,1,34,41,858,b1359953-4497-440e-9edb-ac6308a4dfd6
2018,6,22,16,40,43,686,100002,206,2018,6,22,16,48,26,802,1,com.sec.android.app.shealth,UTC-0400,Roasted Chestnuts,NA,120001,NA,2018,6,22,16,48,26,802,f2befc1a-1629-4356-898e-c6ff74c56964
2018,6,19,12,0,0,0,100001,134,2018,6,19,20,53,15,59,1,com.sec.android.app.shealth,UTC-0400,Baked Sweetpotato (Peel Not Eaten),NA,120001,NA,2018,6,19,20,53,15,59,e0a672d3-d7be-49bf-85ec-cb89cf840e35
2018,7,5,19,32,23,349,100006,67,2018,7,5,19,57,27,424,0.5,com.sec.android.app.shealth,UTC-0400,Mango,NA,120001,NA,2018,7,5,19,32,34,517,52617a49-e99b-4808-8778-c009c352b30c
2018,6,17,16,0,0,0,100002,460,2018,6,18,14,22,46,791,10,com.sec.android.app.shealth,UTC-0400,Soft Silken Tofu,NA,120001,NA,2018,6,18,14,22,46,791,bb365274-d73f-4119-bd8a-145794aced9c
2018,6,22,19,35,46,547,100003,328.5,2018,6,23,15,15,52,286,1.5,com.sec.android.app.shealth,UTC-0400,Noodles,NA,120001,NA,2018,6,23,15,15,52,286,512f691c-1940-4bc5-b891-0e086be9796c
2018,6,29,1,11,26,117,100003,22,2018,6,29,1,12,31,787,0.2,com.sec.android.app.shealth,UTC-0400,"Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",NA,120001,NA,2018,6,29,1,12,31,787,122ce956-17a2-448e-9a0d-886a92d567c7
2018,6,15,22,0,0,0,100003,460,2018,6,16,14,54,12,216,10,com.sec.android.app.shealth,UTC-0400,Soft Silken Tofu,NA,120001,NA,2018,6,16,14,54,12,216,bb365274-d73f-4119-bd8a-145794aced9c
2018,7,18,16,3,23,363,100002,163.2,2018,7,18,16,6,44,378,0.8,com.sec.android.app.shealth,UTC-0400,White Rice,NA,120001,NA,2018,7,18,16,6,44,378,bbf51ec3-d464-4338-b151-0966be324e05
2018,6,13,16,0,0,0,100002,77,2018,6,14,14,8,58,800,1,com.sec.android.app.shealth,UTC-0400,Cooked Mushrooms (from Fresh),NA,120001,NA,2018,6,14,14,8,58,800,f5c6db36-1b71-4e71-8b60-f9f54b95d4a3
2018,7,4,16,0,0,0,100002,203,2018,7,5,0,17,6,283,1,com.sec.android.app.shealth,UTC-0400,Roasted Potato,NA,120001,NA,2018,7,5,0,17,6,283,457849ac-8095-40ca-8f98-832d8d79124f
2018,6,27,1,27,57,547,100003,135,2018,6,27,1,31,45,797,5,com.sec.android.app.shealth,UTC-0400,Hummus,NA,120001,NA,2018,6,27,1,31,45,797,a72c1efe-14c8-43b9-9674-b9b939e2ed47
2018,6,14,16,3,37,445,100002,280,2018,6,14,16,5,22,861,1,com.sec.android.app.shealth,UTC-0400,Vegan Dumplings(Macro Vegetarian),NA,120001,NA,2018,6,14,14,21,19,679,ba581178-be3e-4564-bbaa-44abe4f474ee
2018,6,27,22,0,0,173,100003,438,2018,6,29,1,6,58,795,2,com.sec.android.app.shealth,UTC-0400,Noodles,NA,120001,NA,2018,6,29,1,6,7,794,512f691c-1940-4bc5-b891-0e086be9796c
2018,6,13,22,0,0,0,100003,67.5,2018,6,14,14,13,38,580,0.5,com.sec.android.app.shealth,UTC-0400,Mango,NA,120001,NA,2018,6,14,14,13,38,580,52617a49-e99b-4808-8778-c009c352b30c
2018,7,19,22,0,0,0,100003,102,2018,7,20,20,50,57,552,3,com.sec.android.app.shealth,UTC-0400,Cooked Broccoli (Fat Not Added in Cooking),NA,120001,NA,2018,7,20,20,50,57,552,a06c6d60-2487-4233-97ca-bad9445c6763
